pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
829132,,bse_fo,SO,PGEL,PGEL26AUG410PE,PE,PGEL27AUG26410.00PE,,533581,,,PGEL26AUG410PE,,,5,950,1787855399,1,2,41000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,950,0,2420,5,1,1,1,0,0,1,0,-1,1,0,100000000
829143,,bse_fo,IO,SENSEX,SENSEX30DEC81000CE,CE,SENSEX26DEC3081000.00CE,,1,,,SENSEX30DEC81000CE,,,5,20,1924540199,1,2,8.1e+06,BSE,IO,1924540199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1924473600,1924473600,,,,,Cash,,0,1,0.00,20,0,1.8672e+06,1.36362e+06,1,1,1,0,0,1,0,-1,1,0,1000
829150,,bse_fo,SO,ITC,ITC26AUG277.5PE,PE,ITC27AUG26277.50PE,,500875,,,ITC26AUG277.5PE,,,5,1725,1787855399,1,2,27750,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,1725,0,2430,5,1,1,1,0,0,1,0,-1,1,0,64000
829154,,bse_fo,SO,AMBER,AMBER26AUG7600CE,CE,AMBER27AUG267600.00CE,,540902,,,AMBER26AUG7600CE,,,5,100,1787855399,1,2,760000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,100,0,98395,4275,1,1,1,0,0,1,0,-1,1,0,100000000
829155,,bse_fo,IO,SENSEX,SENSEX26AUG72900CE,CE,SENSEX27AUG2672900.00CE,,1,,,SENSEX26AUG72900CE,,,5,20,1787855399,1,2,7.29e+06,BSE,IO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Cash,,0,1,0.00,20,0,800445,304175,1,1,1,0,0,1,0,-1,1,0,1000
829156,,bse_fo,SO,DIVISLAB,DIVISLAB26AUG6650CE,CE,DIVISLAB27AUG266650.00CE,,532488,,,DIVISLAB26AUG6650CE,,,5,100,1787855399,1,2,665000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,100,0,59060,8050,1,1,1,0,0,1,0,-1,1,0,8000
829162,,bse_fo,SO,SAIL,SAIL26AUG217.5CE,CE,SAIL27AUG26217.50CE,,500113,,,SAIL26AUG217.5CE,,,5,4700,1787855399,1,2,21750,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,4700,0,2115,5,1,1,1,0,0,1,0,-1,1,0,320000
829180,,bse_fo,SO,BAJAJFINSV,BAJAJFINSV26AUG1700PE,PE,BAJAJFINSV27AUG261700.00PE,,532978,,,BAJAJFINSV26AUG1700PE,,,5,300,1787855399,1,2,170000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,300,0,3445,5,1,1,1,0,0,1,0,-1,1,0,20000
829184,,bse_fo,SO,ALKEM,ALKEM26AUG5100CE,CE,ALKEM27AUG265100.00CE,,539523,,,ALKEM26AUG5100CE,,,5,125,1787855399,1,2,510000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,125,0,81595,26650,1,1,1,0,0,1,0,-1,1,0,8000
829201,,bse_fo,SO,MOTILALOFS,MOTILALOFS26AUG870CE,CE,MOTILALOFS27AUG26870.00CE,,532892,,,MOTILALOFS26AUG870CE,,,5,775,1787855399,1,2,87000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,775,0,20855,4800,1,1,1,0,0,1,0,-1,1,0,100000000
829204,,bse_fo,SO,IREDA,IREDA26AUG131CE,CE,IREDA27AUG26131.00CE,,544026,,,IREDA26AUG131CE,,,5,4525,1787855399,1,2,13100,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,4525,0,1305,45,1,1,1,0,0,1,0,-1,1,0,100000000
829212,,bse_fo,SO,BRITANNIA,BRITANNIA26AUG5700PE,PE,BRITANNIA27AUG265700.00PE,,500825,,,BRITANNIA26AUG5700PE,,,5,125,1787855399,1,2,570000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,125,0,52920,16335,1,1,1,0,0,1,0,-1,1,0,6000
829219,,bse_fo,SO,FEDERALBNK,FEDERALBNK26AUG275CE,CE,FEDERALBNK27AUG26275.00CE,,500469,,,FEDERALBNK26AUG275CE,,,5,2500,1787855399,1,2,27500,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,2500,0,7555,3510,1,1,1,0,0,1,0,-1,1,0,200000
829233,,bse_fo,SO,WIPRO,WIPRO26AUG205CE,CE,WIPRO27AUG26205.00CE,,507685,,,WIPRO26AUG205CE,,,5,3000,1787855399,1,2,20500,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,3000,0,2135,5,1,1,1,0,0,1,0,-1,1,0,60000
829240,,bse_fo,SO,KAYNES,KAYNES26AUG3100CE,CE,KAYNES27AUG263100.00CE,,543664,,,KAYNES26AUG3100CE,,,5,150,1787855399,1,2,310000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,150,0,73095,10870,1,1,1,0,0,1,0,-1,1,0,100000000
829245,,bse_fo,SO,APOLLOHOSP,APOLLOHOSP26AUG8350PE,PE,APOLLOHOSP27AUG268350.00PE,,508869,,,APOLLOHOSP26AUG8350PE,,,5,125,1787855399,1,2,835000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,125,0,15240,5,1,1,1,0,0,1,0,-1,1,0,5000
829246,,bse_fo,IO,BANKEX,BANKEX26AUG67200PE,PE,BANKEX27AUG2667200.00PE,,12,,,BANKEX26AUG67200PE,,,5,30,1787855399,1,2,6.72e+06,BSE,IO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Cash,,0,1,0.00,30,0,340740,80840,1,1,1,0,0,1,0,-1,1,0,900
829253,,bse_fo,SO,OIL,OIL26AUG520PE,PE,OIL27AUG26520.00PE,,533106,,,OIL26AUG520PE,,,5,1400,1787855399,1,2,52000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,1400,0,12830,6320,1,1,1,0,0,1,0,-1,1,0,100000000
829259,,bse_fo,IO,SENSEX,SENSEX26AUG77200CE,CE,SENSEX27AUG2677200.00CE,,1,,,SENSEX26AUG77200CE,,,5,20,1787855399,1,2,7.72e+06,BSE,IO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Cash,,0,1,0.00,20,0,379485,20755,1,1,1,0,0,1,0,-1,1,0,1000
829269,,bse_fo,SO,ICICIBANK,ICICIBANK26AUG1200PE,PE,ICICIBANK27AUG261200.00PE,,532174,,,ICICIBANK26AUG1200PE,,,5,700,1787855399,1,2,120000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,700,0,2120,5,1,1,1,0,0,1,0,-1,1,0,28000
829282,,bse_fo,SO,LICHSGFIN,LICHSGFIN26AUG550PE,PE,LICHSGFIN27AUG26550.00PE,,500253,,,LICHSGFIN26AUG550PE,,,5,1000,1787855399,1,2,55000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,1000,0,4355,355,1,1,1,0,0,1,0,-1,1,0,60000
841099,,bse_fo,SO,SAIL,SAIL26AUG157.5PE,PE,SAIL27AUG26157.50PE,,500113,,,SAIL26AUG157.5PE,,,5,4700,1787855399,1,2,15750,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,4700,0,2545,5,1,1,1,0,0,1,0,-1,1,0,320000
